series_name,season,pessimas,ruins,medianas,boas,maxima
Agents of S.H.I.E.L.D.,1,3209,1854,11493,23761,18079
Agents of S.H.I.E.L.D.,2,2052,627,5084,19864,17897
Agents of S.H.I.E.L.D.,3,941,507,3606,15334,13981
Agents of S.H.I.E.L.D.,4,463,321,1868,8836,10314
Arrow,1,3341,1511,10739,34407,33059
Arrow,2,3360,1047,5989,28887,44937
Arrow,3,4204,1684,7819,30463,38236
Arrow,4,8425,2832,9953,19312,20496
Arrow,5,1406,655,3423,12349,15581
Black Mirror,1,904,1209,8005,24011,10216
Black Mirror,2,749,1742,11118,21394,11657
Black Mirror,3,1280,1959,12506,34505,19119
Breaking Bad,1,3525,956,6710,31565,31265
Breaking Bad,2,6180,1360,9625,45678,50209
Breaking Bad,3,6413,1752,9597,41276,58055
Breaking Bad,4,7381,1522,9321,47378,69446
Breaking Bad,5,14625,2031,8521,82485,224367
Daredevil,1,1770,703,6111,34329,32902
Daredevil,2,1529,479,3871,23519,30592
Dexter,1,796,430,4062,21050,18613
Dexter,2,665,285,2912,17567,13468
Dexter,3,619,457,3505,15868,9200
Dexter,4,756,329,2619,16140,17827
Dexter,5,815,464,3114,14593,10962
Dexter,6,1118,789,4700,14361,10237
Dexter,7,921,515,3087,16581,16317
Dexter,8,9302,3601,7790,13714,10683
Flash,1,4027,1656,9932,41122,59982
Flash,2,2364,1368,7687,29833,37686
Flash,3,3197,1332,5007,16428,16546
Game of Thrones,1,4581,1468,9072,60040,84584
Game of Thrones,2,4180,1446,9964,54330,70959
Game of Thrones,3,5437,1944,12360,69380,88280
Game of Thrones,4,5347,1575,8307,61007,132682
Game of Thrones,5,9817,5452,22934,76819,90069
Game of Thrones,6,10208,3879,15346,77128,316189
Gotham,1,1975,1831,11600,31954,19252
Gotham,2,730,758,4150,18797,15920
Gotham,3,416,379,2191,7007,5229
Homeland,1,422,472,4485,15923,6468
Homeland,2,520,448,3167,14869,7670
Homeland,3,1117,877,4824,13001,6569
Homeland,4,1431,1003,3881,13041,12175
Homeland,5,496,431,2847,10307,5265
Homeland,6,557,358,2177,5715,2957
House of Cards,1,447,524,6205,28496,11409
House of Cards,2,628,356,3557,21338,16949
House of Cards,3,898,531,4404,19750,10286
House of Cards,4,370,295,3029,15963,12718
How to Get Away with Murder,1,710,350,2426,10198,8802
How to Get Away with Murder,2,370,191,1441,7218,6955
How to Get Away with Murder,3,208,126,965,4301,4163
Modern Family,1,1221,615,6571,15510,7485
Modern Family,2,1117,536,5490,12812,6662
Modern Family,3,1156,518,5632,11432,5819
Modern Family,4,1148,572,5410,10463,6042
Modern Family,5,1097,679,5131,9617,6056
Modern Family,6,1001,631,4691,9372,8455
Modern Family,7,360,561,4173,6435,3208
Modern Family,8,281,466,2785,3025,1416
Mr Robot,1,1281,894,5561,25126,30011
Mr Robot,2,993,691,3165,14474,15752
Narcos,1,1336,179,2206,16531,9160
Narcos,2,1113,89,1269,10322,8228
Once Upon a Time,1,744,871,5614,14633,14430
Once Upon a Time,2,726,631,4082,9987,9858
Once Upon a Time,3,830,546,2703,8621,11116
Once Upon a Time,4,965,673,2941,8507,9478
Once Upon a Time,5,1106,546,2499,6380,6642
Once Upon a Time,6,599,350,1132,2954,3411
Orphan Black,1,173,154,1895,6987,3947
Orphan Black,2,176,164,1338,4866,3458
Orphan Black,3,184,148,1050,3668,3184
Orphan Black,4,69,121,704,2875,2601
Prison Break,1,1094,913,4407,24059,22752
Prison Break,2,1015,931,4378,19278,15650
Prison Break,3,958,802,3147,9634,8978
Prison Break,4,1687,1676,5542,14962,14209
Scandal,1,215,125,840,1710,1301
Scandal,2,562,164,1104,4143,3937
Scandal,3,431,153,688,2834,2068
Scandal,4,624,176,929,2882,2128
Scandal,5,400,160,777,1786,1159
Scandal,6,221,96,327,824,670
Sense8,1,890,651,3337,11042,12244
Sense8,2,115,95,509,2282,4765
Sherlock,1,456,605,5301,29439,30726
Sherlock,2,623,591,3924,20635,47164
Sherlock,3,1273,1127,5523,25542,39171
Sherlock,4,4040,3533,11126,26577,32598
The 100,1,6052,808,4337,9287,15627
The 100,2,6523,486,2364,10138,24513
The 100,3,33865,1333,3952,10110,34744
The 100,4,1956,141,770,2509,5879
The Blacklist,1,447,739,5835,16961,9964
The Blacklist,2,551,663,4017,11294,7716
The Blacklist,3,652,450,3208,10026,7624
The Blacklist,4,283,288,1498,3850,2546
The Walking Dead,1,1778,946,6558,25591,23782
The Walking Dead,2,4270,2209,14534,41489,37238
The Walking Dead,3,5848,2343,14480,48213,44044
The Walking Dead,4,6979,3593,17643,48473,55349
The Walking Dead,5,7595,3554,16843,52955,54998
The Walking Dead,6,10130,5277,23256,56717,55558
The Walking Dead,7,15427,7439,22158,38044,41689
Vikings,1,844,545,4665,11875,6426
Vikings,2,1121,227,2381,10633,9426
Vikings,3,1338,223,2028,9525,9875
Vikings,4,2312,736,4082,15665,17967
